sysTime,roll,pitch,yaw,ax,ay,az
4:23:52:29:588549,71.8,62.02,23.05,0.85,0.46,0.14
4:23:52:29:588646,71.09,63.16,22.8,0.9,0.38,0.16
4:23:52:30:588741,71.24,62.58,22.38,0.86,0.46,0.15
4:23:52:30:588837,71.21,63.22,22.34,0.88,0.42,0.14
4:23:52:30:589461,70.1,65.66,19.99,0.87,0.42,0.13
4:23:52:30:589557,69.66,68.7,20.59,1.0,0.24,0.07
4:23:52:30:589653,67.4,67.56,17.34,0.88,0.39,0.17
4:23:52:31:589749,69.29,68.97,20.42,0.95,0.3,0.13
4:23:52:31:589844,68.9,68.25,19.76,0.87,0.39,0.21
4:23:52:31:589956,70.87,69.11,21.78,0.94,0.31,0.08
4:23:52:31:590052,70.02,69.09,21.07,0.89,0.35,0.2
4:23:52:31:590244,70.53,68.34,21.33,0.91,0.35,0.15
4:23:52:31:590340,70.38,67.59,20.78,0.91,0.35,0.1
4:23:52:31:590436,69.58,68.1,19.63,0.93,0.32,0.13
4:23:52:31:590532,68.78,67.43,18.57,0.89,0.39,0.17
4:23:52:31:590660,68.62,68.55,18.67,0.93,0.31,0.14
4:23:52:32:590756,68.33,67.99,18.1,0.89,0.37,0.17
4:23:52:32:590852,68.58,68.22,18.66,0.93,0.32,0.12
4:23:52:32:591443,68.12,68.7,18.12,0.94,0.31,0.11
4:23:52:32:591539,67.94,67.66,17.58,0.9,0.36,0.13
4:23:52:32:591635,68.09,68.78,18.37,0.94,0.3,0.12
